method,K,p1,p2,p3,p4,p5,p6,n_trials,T_max,asc_confidence,delta,epsilon,seed,include_final_wasteful,d_hat,lower_bound,empirical_mean,empirical_sem,n_valid,n_hit_cap,tilde_gap
ASC,3,0.8210526315789474,0.08947368421052633,0.08947368421052633,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.828,0.1486118580273567,1.65,0.055629080475903925,1000,0,0.8034682080924855
PPR-1v1,3,0.8210526315789474,0.08947368421052633,0.08947368421052633,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,11.404,0.14895772012830186,1.939,0.09114596308442074,1000,0,0.8034682080924855
ASC,3,0.8491228070175438,0.07543859649122808,0.07543859649122808,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.69,0.11466434865266914,1.471,0.04515748219507148,1000,0,0.8368121442125236
PPR-1v1,3,0.8491228070175438,0.07543859649122808,0.07543859649122808,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.648,0.11483104563101497,1.66,0.06367459818840206,1000,0,0.8368121442125236
ASC,3,0.8771929824561404,0.061403508771929835,0.061403508771929835,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.525,0.08573650196887805,1.381,0.037752672279777286,1000,0,0.8691588785046729
PPR-1v1,3,0.8771929824561404,0.061403508771929835,0.061403508771929835,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,10.001,0.08580644954499102,1.484,0.054577676047288075,1000,0,0.8691588785046729
ASC,3,0.9052631578947369,0.04736842105263158,0.04736842105263158,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.396,0.06096964164069654,1.296,0.034022662175990016,1000,0,0.9005524861878453
PPR-1v1,3,0.9052631578947369,0.04736842105263158,0.04736842105263158,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.528,0.06099300874994481,1.465,0.0486327064858634,1000,0,0.9005524861878453
ASC,3,0.9333333333333333,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,4.27,0.03967706892195879,1.165,0.02320157997450418,1000,0,0.9310344827586208
PPR-1v1,3,0.9333333333333333,0.033333333333333326,0.033333333333333326,0.0,0.0,0.0,1000,4096,0.95,0.1,0.0,0,True,9.08,0.039682539669219696,1.245,0.03583656316193364,1000,0,0.9310344827586208
